Date,FIPS,Week,Dist_Total,Dist_Janssen,Dist_Moderna,Dist_Pfizer,Given_Total,Given_Janssen,Given_Moderna,Given_Pfizer
2021-10-23,4,42,10503880,479800,4189680,5834400,8617622,297771,3403033,4901159
2021-10-23,21,42,6187985,302400,2633840,3251745,5217763,205055,2117929,2893308
2021-10-23,15,42,2490360,101000,924460,1464900,1955032,51219,624186,1185613
2021-10-23,17,42,18962345,928600,7058620,10975125,15702797,555835,5622724,9503745
2021-10-23,16,42,2384100,124000,936020,1324080,1670759,68299,659469,940663
2021-10-23,44,42,1794565,78700,704760,1011105,1530159,54869,563304,911047
2021-10-23,8,42,8765385,389800,3379700,4995885,7528365,277815,2887506,4357514
2021-10-23,29,42,8278295,341300,3222480,4714515,6643626,211338,2327667,4102413
2021-10-23,27,42,8429420,404700,3167540,4857180,7037080,300174,2517563,4216746
2021-10-23,53,42,12139625,607000,4634680,6897945,10106696,405617,3740188,5953249
2021-10-23,6,42,61500045,2929000,23232140,35338905,53075050,1909164,19738323,31413114
2021-10-23,39,42,15995775,743100,6351840,8900835,12699508,509668,4772015,7401143
2021-10-23,38,42,997460,42400,388300,566760,794806,33536,300899,460072
2021-10-23,20,42,4150585,210200,1674260,2266125,3258212,109839,1249404,1897385
2021-10-23,26,42,14305980,716900,5857960,7731120,11179955,376885,4252706,6548686
2021-10-23,32,42,4257280,210700,1523700,2522880,3564698,155594,1234380,2174425
2021-10-23,30,42,1435885,84900,601240,749745,1154941,48726,477026,628137
2021-10-23,10,42,1632535,68700,642580,921255,1275546,51677,479301,743067
2021-10-23,54,42,3121715,131200,1241620,1748895,1586835,42176,703155,841090
2021-10-23,41,42,7109115,375800,2806900,3926415,5510358,229534,2005019,3271273
2021-10-23,35,42,3143205,151200,1294800,1697205,2941157,100207,1191911,1642609
2021-10-23,19,42,4523245,229900,1759200,2534145,3630583,148592,1400805,2080805
2021-10-23,1,42,7062480,317500,3139940,3605040,4759947,141226,2057399,2561171
2021-10-23,33,42,2266650,130700,866500,1269450,1878947,94419,709593,1074872
2021-10-23,9,42,5976495,280200,2368200,3328095,5287423,209572,1894874,3181596
2021-10-23,56,42,716325,38800,324740,352785,557340,24394,241037,291397
2021-10-23,12,42,34671185,1862100,13407680,19401405,28045326,1231449,10289165,16422879
2021-10-23,48,42,43819645,2127500,16851320,24840825,33847281,1266171,12612760,19965952
2021-10-23,23,42,2302770,125200,949340,1228230,1918386,120432,750704,1045827
2021-10-23,55,42,8045235,361100,3132880,4551255,7179001,280550,2686992,4210357
2021-10-23,22,42,6067040,265800,2587640,3213600,4779169,163204,1945574,2668086
2021-10-23,18,42,8885460,472700,3317440,5095320,7074028,260240,2535098,4253566
2021-10-23,46,42,1286805,70200,535440,681165,1002759,32617,387085,582931
2021-10-23,13,42,15359675,658300,6323500,8377875,11222786,281149,4416950,6514391
2021-10-23,51,42,13562305,609400,5047440,7905465,11470954,408362,4025499,7030455
2021-10-23,36,42,31365035,1466900,11763720,18134415,27115505,1159100,9865348,16080702
2021-10-22,10,42,1629445,68700,640660,920085,1272284,51620,478789,740393
2021-10-22,49,42,4263020,191000,1563360,2508660,3633463,150119,1316359,2166736
2021-10-22,32,42,4240960,207900,1513420,2519640,3558077,155242,1233376,2169167
2021-10-22,35,42,3124925,151000,1285540,1688385,2932485,100150,1190937,1634990
2021-10-22,56,42,712015,38600,321800,351615,555247,24341,240638,289756
2021-10-22,31,42,2731190,123400,1013920,1593870,2282268,80294,824933,1372133
2021-10-22,23,42,2276840,125200,931600,1220040,1913254,120246,750290,1041324
2021-10-22,53,42,12082075,603000,4599580,6879495,10080829,405060,3736923,5931230
2021-10-22,20,42,4138455,209300,1669060,2260095,3251403,109722,1248450,1891654
2021-10-22,37,42,15353510,727300,5975980,8650230,12041740,426165,4370159,7244669
2021-10-22,45,42,7351775,354400,3101560,3895815,5573990,184984,2110006,3277494
2021-10-22,1,42,7045270,317000,3129080,3599190,4742444,140839,2051403,2550053
2021-10-22,5,42,4290340,202000,1864800,2223540,3168727,100977,1331562,1733168
2021-10-22,9,42,5959195,279800,2357060,3322335,5276862,209385,1893564,3172556
2021-10-22,55,42,8011125,359800,3112940,4538385,7159648,280242,2685244,4193137
2021-10-22,24,42,10553790,475000,3923780,6155010,8343034,302701,3012210,5016085
2021-10-22,39,42,15940845,741900,6316560,8882385,12671838,509009,4768578,7377604
2021-10-22,13,42,15339265,658100,6310760,8370405,11222100,281139,4416729,6513944
2021-10-22,22,42,6047370,265000,2580920,3201450,4767678,162920,1943473,2658982
2021-10-22,17,42,18889835,927200,7039440,10923195,15702093,555823,5622659,9503119
2021-10-22,44,42,1786595,75700,700960,1009935,1527156,54807,562822,908598
2021-10-22,46,42,1281075,70000,533420,677655,999693,32527,386673,580368
2021-10-22,16,42,2373300,123100,928460,1321740,1664702,68190,657719,936472
2021-10-22,18,42,8819650,472500,3307720,5039430,7060515,259983,2533399,4242096
2021-10-22,33,42,2262200,130700,865560,1265940,1876019,94322,709310,1072325
2021-10-22,40,42,5245690,262300,2278380,2705010,4375374,124066,1757796,2492655
2021-10-22,8,42,8747685,389200,3369080,4989405,7517784,277374,2885552,4349347
2021-10-22,25,42,11621650,503200,4513140,6605310,10204856,341982,3834852,6027625
2021-10-22,36,42,31217475,1445900,11701960,18069615,27062928,1157302,9856180,16039151
2021-10-22,15,42,2473120,101000,920540,1451580,1951288,51094,623901,1182279
2021-10-22,2,42,1128425,72400,444400,611625,849541,35833,323595,489531
2021-10-22,12,42,34507895,1859200,13338280,19310415,27997140,1230171,10279090,16386602
2021-10-22,41,42,7075885,371000,2788460,3916425,5496828,229143,2003011,3260175
2021-10-22,28,42,3994565,180800,1663740,2150025,2929949,74675,1182685,1670694
2021-10-22,47,42,9119650,413400,3530440,5175810,7276374,213477,2719056,4311230
2021-10-22,54,42,3104085,131100,1234980,1738005,1585187,42134,702646,839996
2021-10-22,27,42,8355900,394300,3137180,4824420,7018451,299825,2515773,4200316
2021-10-22,6,42,61321935,2906000,23121040,35294895,52985233,1906669,19725908,31338276
2021-10-22,48,42,43656335,2116300,16792900,24747135,33712900,1262068,12578306,19870154
2021-10-22,26,42,14231270,715300,5833900,7682070,11140293,376434,4248565,6513618
2021-10-22,51,42,13480695,599100,4994040,7887555,11449069,407837,4022118,7012503
2021-10-22,19,42,4500875,223900,1751020,2525955,3622282,148399,1399775,2073730
2021-10-22,4,42,10471530,479600,4175980,5815950,8602398,297393,3400262,4889187
2021-10-22,11,42,1282635,58100,487300,737235,1045370,31435,382293,631193
2021-10-22,38,42,994740,42300,385680,566760,792041,33477,300613,457652
2021-10-22,30,42,1428465,84500,594220,749745,1154718,48716,476886,628068
2021-10-22,29,42,8263765,341300,3214700,4707765,6629366,211091,2325978,4090094
2021-10-22,50,42,1123010,61900,463240,597870,949114,44673,363492,540118
2021-10-22,21,42,6163365,301900,2624120,3237345,5206923,204829,2115323,2885313
2021-10-22,34,42,14719225,699800,5625980,8393445,12032967,450443,4522178,7060008
2021-10-22,42,42,20400035,1186000,8217340,10996695,17146754,669557,6606599,9869569
2021-10-21,17,42,18806625,923900,7007680,10875045,15701304,555818,5622558,9502441
2021-10-21,49,42,4223310,190400,1558180,2474730,3622509,149892,1315145,2157225
2021-10-21,21,42,6109095,299500,2604920,3204675,5196008,204553,2112799,2877219
2021-10-21,44,42,1779595,75700,700260,1003635,1523454,54730,562413,905399
2021-10-21,13,42,15252615,657900,6284160,8310555,11112900,279378,4392566,6431137
2021-10-21,5,42,4256950,201800,1850240,2204910,3161353,100890,1330606,1726842
2021-10-21,16,42,2364980,123100,924820,1317060,1659029,67996,656485,932240
2021-10-21,45,42,7313425,354000,3079720,3879705,5563700,184838,2108080,3269278
2021-10-21,1,42,6999770,316600,3112240,3570930,4732829,140547,2049081,2543054
2021-10-21,4,42,10410270,476600,4157500,5776170,8578327,296712,3396918,4869225
2021-10-21,25,42,11543950,494500,4503900,6545550,10178352,341553,3832973,6003430
2021-10-21,33,42,2248800,130300,861920,1256580,1871633,94226,708907,1068438
2021-10-21,32,42,4212770,207400,1507960,2497410,3549119,154985,1232209,2161633
2021-10-21,26,42,14151580,713500,5795520,7642560,11123961,376051,4246826,6499412
2021-10-21,37,42,15282030,726600,5948400,8607030,12001934,425737,4364341,7211112
2021-10-21,2,42,1125115,72100,442560,610455,847207,35738,323201,487694
2021-10-21,34,42,14605965,695500,5605400,8305065,12010472,450036,4518540,7041564
2021-10-21,54,42,3079635,130200,1221960,1727475,1583779,42113,702426,838842
2021-10-21,38,42,990780,42300,385680,562800,789310,33434,300325,455252
2021-10-21,6,42,61020085,2898100,23053620,35068365,52869188,1903579,19711065,31240203
2021-10-21,20,42,4067815,199200,1629580,2239035,3243579,109551,1247356,1885155
2021-10-21,53,42,11999595,601300,4589180,6809115,10055713,403822,3733446,5910846
2021-10-21,15,42,2458470,100800,916620,1441050,1948246,50981,623655,1179596
2021-10-21,51,42,13405045,598400,4973360,7833285,11421829,407022,4018220,6989995
2021-10-21,18,42,8771310,470800,3290060,5010450,7048145,259730,2531124,4232306
2021-10-21,31,42,2713480,122800,1007340,1583340,2276430,80234,824478,1366819
2021-10-21,35,42,3112415,150600,1277840,1683975,2924916,100030,1190138,1628360
2021-10-21,10,42,1618635,68600,638140,911895,1268810,51555,478217,737566
2021-10-21,50,42,1120670,61900,463240,595530,946774,44636,363314,537993
2021-10-21,47,42,9051280,412000,3505320,5133960,7259764,213106,2715478,4298795
2021-10-21,12,42,34307395,1855800,13272760,19178835,27897250,1227187,10259692,16310153
2021-10-21,46,42,1272815,69700,531040,672075,996850,32466,386275,577984
2021-10-21,24,42,10514070,474300,3917340,6122430,8321252,302375,3009372,4997516
